aX,aY,aZ,gX,gY,gZ
0.734,-1.570,0.853,-93.018,39.612,93.323
0.603,-1.577,0.713,-112.610,52.002,115.417
0.408,-1.466,0.558,-126.892,64.148,144.226
0.372,-1.340,0.534,-127.075,66.528,152.466
0.355,-1.210,0.537,-121.948,75.806,166.809
0.343,-0.936,0.580,-119.324,87.097,172.363
0.328,-0.779,0.590,-112.366,119.934,171.143
0.330,-0.391,0.574,-107.300,135.437,165.222
0.378,-0.161,0.570,-92.468,150.269,153.320
0.477,0.322,0.573,-84.961,148.132,149.841
0.472,0.477,0.552,-79.285,130.310,147.461
0.331,0.661,0.521,-76.721,119.934,149.841
0.246,0.828,0.540,-69.458,111.267,152.649
0.197,1.056,0.580,-43.579,98.999,149.353
0.138,1.441,0.650,-33.630,96.680,141.418
0.140,1.490,0.660,-30.640,90.271,110.840
0.184,1.444,0.620,-35.889,76.233,93.079
0.196,1.411,0.568,-51.208,36.865,69.458
0.196,1.400,0.481,-50.598,27.283,66.406
0.153,1.459,0.485,-21.484,41.992,75.989
-0.011,1.562,0.565,-1.038,54.749,79.346
-0.058,1.539,0.612,15.686,59.937,73.059
-0.046,1.471,0.650,24.292,38.269,30.701
0.100,1.277,0.681,20.630,19.165,6.592
0.199,1.174,0.676,20.569,-4.456,-21.729
0.370,0.975,0.649,25.085,-7.019,-24.658
0.413,0.881,0.648,35.217,-11.719,-17.212
0.440,0.748,0.686,38.269,-16.907,-9.644
0.431,0.719,0.700,30.579,-27.832,4.089
0.415,0.706,0.662,19.958,-29.846,5.371
0.426,0.689,0.617,-3.479,-21.851,-3.662
0.481,0.625,0.505,-11.841,-13.794,-7.568
0.503,0.604,0.455,-16.174,-5.005,-8.606
0.533,0.583,0.403,-13.489,8.057,-8.179
0.557,0.575,0.404,-8.667,9.399,-9.216
0.581,0.564,0.420,0.854,2.441,-11.902
0.625,0.543,0.490,5.371,-1.953,-11.597
0.646,0.542,0.533,12.756,-6.409,-9.094
0.677,0.535,0.608,13.977,-6.897,-7.446
0.678,0.542,0.634,11.902,-6.165,-1.831
0.653,0.570,0.657,10.071,-4.028,0.366
0.640,0.580,0.660,8.301,4.578,1.160
0.618,0.595,0.667,8.545,9.033,1.221
0.610,0.600,0.670,6.836,14.282,0.000
0.621,0.581,0.664,3.540,14.160,-0.916
0.638,0.572,0.655,-4.150,6.897,0.305
0.633,0.589,0.616,-7.935,0.549,0.671
0.615,0.597,0.591,-12.390,-7.324,-2.075
0.602,0.586,0.553,-10.864,-6.531,-3.052
0.596,0.583,0.541,-4.395,0.732,2.380
0.554,0.604,0.528,-2.197,5.737,5.859
0.538,0.613,0.522,-0.366,11.108,3.906
0.550,0.596,0.513,0.549,9.888,1.221
0.553,0.595,0.513,1.648,6.714,0.366
0.541,0.610,0.515,2.136,0.488,0.366
0.551,0.608,0.518,3.113,-0.671,-1.709
0.569,0.599,0.527,7.751,-1.892,-6.409
0.591,0.583,0.557,9.766,-2.686,-6.897
0.598,0.576,0.573,10.986,-4.028,-5.676
0.622,0.560,0.610,10.315,-4.578,-3.784
0.624,0.562,0.624,7.202,-4.761,0.793
0.614,0.571,0.629,5.615,-4.272,1.892
0.604,0.574,0.627,4.028,-1.587,2.502
0.593,0.581,0.627,3.906,-0.244,2.441
0.592,0.581,0.626,2.808,0.183,1.892
0.581,0.581,0.616,1.709,-0.244,1.770
0.576,0.581,0.608,0.854,-0.732,0.793
0.584,0.568,0.605,1.770,-1.160,0.427
0.583,0.565,0.607,2.563,-2.319,1.343
0.563,0.569,0.603,2.258,-2.380,1.526
0.557,0.571,0.599,3.235,-1.404,-0.244
0.563,0.567,0.600,4.028,-0.977,-1.343
0.571,0.566,0.605,3.906,-2.441,-2.258
0.574,0.574,0.614,3.357,-3.723,-2.197
0.571,0.577,0.616,2.319,-4.028,-2.319
0.572,0.577,0.620,1.953,-3.540,-2.380
0.578,0.576,0.623,0.977,-3.479,-1.587
0.570,0.585,0.626,0.305,-3.174,-0.610
0.562,0.589,0.624,-0.244,-1.404,-1.038
0.560,0.588,0.615,0.244,-1.160,-1.709
0.561,0.586,0.612,1.343,-1.831,-2.747
0.578,0.566,0.611,0.854,-2.869,-3.296
0.582,0.563,0.608,-1.343,-4.822,-1.892
0.566,0.581,0.589,-1.648,-3.662,-1.099
0.562,0.582,0.585,-0.061,0.854,-2.136
0.573,0.573,0.593,0.610,1.587,-2.686
0.577,0.573,0.595,-0.061,0.305,-2.380
0.589,0.574,0.595,-0.488,-0.732,-2.930
0.596,0.569,0.595,-0.671,-3.418,-4.150
0.605,0.562,0.609,-0.549,-4.395,-3.418
0.600,0.567,0.614,-0.732,-4.150,-1.221
0.583,0.577,0.619,-0.610,-2.380,-1.221
0.584,0.574,0.622,-0.549,1.282,-2.197
0.593,0.562,0.620,-1.648,1.221,-1.526
0.586,0.566,0.614,-3.784,-0.366,1.038
0.579,0.575,0.603,-3.174,0.122,0.916
0.588,0.570,0.600,-0.916,0.366,-0.244
0.594,0.567,0.597,-0.183,0.122,0.549
0.590,0.566,0.594,-0.244,1.282,1.892
0.585,0.560,0.587,-0.916,1.526,1.831
0.578,0.559,0.582,-1.404,1.221,1.831
0.572,0.559,0.582,-1.099,0.122,0.854
0.571,0.560,0.583,-1.099,-1.038,-0.122
0.565,0.562,0.578,-1.709,-2.136,-1.465
0.565,0.559,0.578,-1.160,-1.099,-2.075
0.579,0.548,0.591,-0.183,-0.427,-2.747
0.578,0.552,0.593,-0.793,-0.549,-0.793
0.560,0.577,0.591,-0.122,1.343,-0.549
0.559,0.584,0.593,1.648,2.991,-3.418
0.573,0.584,0.603,1.892,0.854,-4.700
0.573,0.590,0.607,1.831,-2.686,-5.066
0.584,0.589,0.614,1.953,-2.014,-5.310
0.591,0.585,0.617,1.770,0.610,-4.700
0.600,0.583,0.619,1.221,1.038,-3.906

0.483,-1.507,1.031,118.225,-71.655,-143.127
0.667,-1.454,1.171,83.801,-21.606,-91.125
0.841,-1.390,1.256,47.241,40.100,-39.917
0.763,-1.380,1.170,-47.607,154.968,78.674
0.430,-1.449,0.863,-111.938,180.969,142.883
0.275,-1.540,0.586,-128.845,168.762,153.503
0.259,-1.551,0.486,-146.912,135.986,168.823
0.161,-1.419,0.410,-145.691,124.939,178.406
0.078,-1.301,0.429,-129.883,119.812,190.002
-0.023,-1.009,0.480,-126.099,124.146,187.195
-0.045,-0.880,0.489,-121.277,146.057,172.607
-0.066,-0.520,0.538,-111.084,166.870,167.358
-0.008,-0.252,0.588,-81.055,230.530,162.598
0.173,0.229,0.601,-71.838,261.902,157.166
0.259,0.393,0.544,-72.693,283.325,141.357
0.367,0.630,0.384,-76.965,265.015,135.498
0.361,0.760,0.348,-77.820,231.628,130.432
