aX,aY,aZ,gX,gY,gZ
1.642,-0.504,0.804,25.452,0.000,-36.804
1.664,-0.537,0.814,21.851,-13.062,0.671
1.507,-0.526,0.845,19.409,-16.235,22.400
1.246,-0.496,0.817,10.803,-27.771,51.880
1.138,-0.503,0.813,8.179,-42.236,66.345
0.944,-0.478,0.848,7.507,-42.786,72.571
0.840,-0.443,0.866,1.038,-29.358,89.966
0.675,-0.388,0.853,-4.272,-22.949,99.121
0.631,-0.372,0.823,-14.648,-24.963,108.032
0.592,-0.365,0.741,-18.799,-35.767,107.788
0.530,-0.358,0.717,-19.348,-56.030,118.591
0.365,-0.360,0.765,-10.925,-57.800,130.859
0.263,-0.367,0.836,12.024,-47.485,137.817
0.069,-0.304,0.950,19.104,-40.344,132.324
-0.017,-0.287,0.969,15.320,-36.316,120.178
-0.275,-0.265,1.002,10.803,-39.001,119.385
-0.423,-0.269,1.028,2.197,-43.152,122.437
-0.793,-0.315,1.081,-3.723,-44.617,120.544
-0.977,-0.312,1.095,-9.033,-40.161,109.558
-1.197,-0.263,1.117,-6.104,-31.189,99.426
-1.224,-0.209,1.126,-2.380,-7.019,73.853
-1.194,-0.193,1.107,-4.822,1.953,61.768
-1.036,-0.173,1.037,-15.564,8.118,39.795
-0.917,-0.181,0.998,-23.193,2.930,20.386
-0.611,-0.207,0.929,-20.325,3.235,12.695
-0.460,-0.207,0.925,-2.930,17.273,1.160
-0.185,-0.222,0.911,5.066,26.611,-7.629
-0.054,-0.236,0.889,10.315,15.442,-29.114
0.137,-0.233,0.892,9.521,-4.395,-35.217
0.186,-0.231,0.917,9.644,-27.100,-34.912
0.220,-0.239,0.953,12.085,-23.743,-30.396
0.211,-0.239,0.953,18.494,-10.376,-19.043
0.149,-0.224,0.958,20.508,-7.751,-14.954
0.118,-0.218,0.970,21.301,-7.446,-13.733
0.092,-0.219,1.000,19.714,-7.568,-14.282
0.082,-0.214,1.013,15.137,-3.967,-13.062
0.088,-0.197,1.023,12.268,-1.038,-12.451
0.093,-0.194,1.022,4.333,1.465,-10.986
0.098,-0.194,1.007,0.854,1.526,-10.132
0.104,-0.197,0.993,-2.502,0.610,-8.057
0.124,-0.211,0.969,-2.258,0.793,-7.507
0.148,-0.221,0.963,0.854,0.244,-4.822
0.160,-0.218,0.986,2.258,-1.160,-1.038
0.144,-0.210,0.999,3.662,1.831,6.348
0.115,-0.194,1.000,2.991,5.005,7.324
0.106,-0.185,0.993,-0.366,4.639,4.883
0.083,-0.173,0.972,-1.099,1.709,3.052
0.072,-0.173,0.972,1.221,-2.380,-1.221
0.083,-0.183,0.981,2.197,-4.089,-3.052
0.084,-0.188,0.986,2.808,-6.348,-2.197
0.078,-0.190,0.989,3.174,-5.249,-0.305
0.072,-0.191,0.987,4.089,-0.366,3.357
0.063,-0.188,0.993,4.456,0.732,3.662
0.065,-0.188,1.003,2.686,-1.526,2.197
0.076,-0.195,1.018,0.549,-3.174,1.282
0.082,-0.202,1.011,-2.380,-4.456,0.732
0.083,-0.210,1.000,-1.770,-3.967,1.221
0.080,-0.209,1.004,0.000,-1.892,2.502
0.075,-0.207,1.002,-0.122,-0.977,3.479
0.069,-0.207,0.993,-0.610,1.038,5.188
0.065,-0.201,0.980,-0.793,1.770,5.249
0.062,-0.194,0.975,-0.977,1.587,5.127
0.053,-0.189,0.976,-0.671,1.160,4.822
0.054,-0.186,0.983,-2.258,-2.197,2.197
0.050,-0.185,0.982,-3.113,-3.662,1.282
0.053,-0.190,0.980,-1.648,-2.686,1.221
0.064,-0.196,0.990,-0.610,-1.648,1.953
0.064,-0.199,0.989,-0.366,-1.892,2.747
0.067,-0.200,0.992,-0.732,-3.906,2.075
0.059,-0.195,1.002,-1.709,-7.263,0.061
0.056,-0.196,0.999,-1.770,-6.165,-0.305
0.051,-0.191,0.986,-0.549,-0.732,0.977
0.052,-0.189,0.981,0.427,1.526,1.099
0.061,-0.186,0.973,0.854,1.038,-0.488
0.068,-0.188,0.972,-0.183,-4.700,-1.465
0.077,-0.197,0.980,-0.061,-5.798,-1.221
0.080,-0.202,0.986,1.221,-1.343,0.977
0.084,-0.210,0.990,1.221,1.038,2.625
0.070,-0.208,0.994,0.244,0.488,3.723
0.064,-0.207,0.999,-0.366,-2.258,2.075
0.060,-0.207,1.001,-0.122,-1.587,1.953
0.062,-0.204,1.000,1.099,2.747,3.418
0.058,-0.195,0.993,0.916,4.456,4.089
0.056,-0.192,0.986,-1.465,2.197,2.502
0.063,-0.191,0.978,-2.991,-1.221,0.793
0.070,-0.195,0.977,-3.662,-3.906,-0.366
0.071,-0.198,0.986,-2.502,-1.648,1.038
0.068,-0.195,0.990,-1.099,3.723,4.028
0.062,-0.190,0.984,-1.465,3.479,3.784
0.073,-0.191,0.981,-2.197,-1.465,1.892
0.075,-0.192,0.985,-1.831,-1.099,2.014
0.073,-0.190,0.985,-1.221,1.404,3.174
0.072,-0.190,0.979,-0.671,4.272,4.700
0.072,-0.190,0.973,-0.854,2.991,4.211
0.071,-0.189,0.973,-1.587,-1.160,3.174
0.065,-0.187,0.972,-1.587,-1.465,3.052
0.065,-0.185,0.971,0.671,1.160,3.906
0.065,-0.187,0.972,1.709,2.380,4.333
0.062,-0.187,0.974,1.648,1.526,3.967
0.062,-0.182,0.975,1.099,0.549,3.174
0.064,-0.179,0.975,0.366,0.183,1.953
0.062,-0.176,0.978,0.244,0.427,1.831
0.061,-0.180,0.979,0.122,-0.427,0.610
0.064,-0.187,0.987,0.183,-1.526,0.061
0.065,-0.188,0.988,0.244,-1.221,-0.427
0.071,-0.186,0.977,0.244,0.122,-0.549
0.075,-0.183,0.971,1.160,2.380,0.183
0.088,-0.187,0.968,1.831,2.441,0.488
0.098,-0.194,0.973,2.014,-0.549,1.160
0.102,-0.206,0.984,1.709,-1.709,2.197
0.100,-0.206,0.984,1.404,0.000,4.456
0.086,-0.197,0.983,1.465,1.465,4.761
0.079,-0.190,0.981,0.488,1.587,3.723
0.066,-0.186,0.980,0.122,0.305,3.052
0.062,-0.192,0.983,1.038,-1.404,1.770
0.061,-0.192,0.989,1.770,-1.221,1.465
0.065,-0.190,0.997,1.221,-1.038,1.770
0.070,-0.183,0.996,0.244,-1.099,2.502

-1.125,-0.196,1.249,-12.634,44.006,18.494
-1.169,-0.139,1.144,-29.785,35.278,-26.733
-1.124,-0.120,1.083,-42.908,-5.554,-80.750
-0.893,-0.178,1.011,-45.288,-21.729,-102.173
-0.764,-0.217,1.006,-41.687,-19.775,-121.643
-0.546,-0.272,0.970,-37.415,0.549,-125.854
-0.422,-0.311,0.918,-25.024,45.044,-141.541
-0.103,-0.331,0.839,-21.057,53.589,-153.198
0.279,-0.440,0.729,-22.705,54.871,-169.983
0.523,-0.477,0.679,-12.817,51.453,-176.941
1.015,-0.477,0.642,-1.953,49.377,-173.401
1.251,-0.543,0.659,24.292,50.171,-172.241
1.674,-0.711,0.787,38.513,39.307,-170.349
1.827,-0.778,0.871,52.490,6.897,-132.446
1.932,-0.754,1.004,47.546,3.174,-104.431
1.937,-0.680,0.983,22.278,10.742,-53.406
1.887,-0.558,0.813,9.338,5.981,-25.085
1.784,-0.509,0.740,-0.549,-14.282,26.062
1.509,-0.438,0.669,2.747,-22.217,43.030
1.366,-0.426,0.675,16.785,-35.095,62.866
1.155,-0.474,0.750,23.193,-43.823,68.604
1.042,-0.557,0.867,25.391,-54.504,85.266
0.929,-0.557,0.915,19.531,-50.354,103.027
0.616,-0.494,0.895,0.122,-23.560,144.409
0.456,-0.462,0.840,-8.301,-7.446,160.339
0.294,-0.425,0.792,-10.864,14.587,179.810
-0.040,-0.322,0.758,-5.493,18.127,180.603
-0.379,-0.243,0.804,5.798,5.798,165.161
-0.538,-0.218,0.843,9.094,-21.790,134.766
-0.760,-0.212,0.934,8.789,-34.607,118.347
-0.830,-0.231,0.988,7.996,-45.410,96.375
-0.951,-0.237,1.140,6.714,-42.480,90.881
-0.979,-0.211,1.192,-4.883,-25.269,78.064
-0.915,-0.197,1.146,-14.404,-13.367,67.566
-0.777,-0.186,1.060,-21.729,3.418,46.265
-0.686,-0.161,1.037,-18.494,8.301,37.598
-0.474,-0.139,1.002,-11.353,14.832,18.677
-0.379,-0.153,0.986,-7.507,15.930,9.888
-0.292,-0.169,0.976,2.808,14.526,-4.639
-0.139,-0.191,0.974,6.775,10.986,-10.010
-0.041,-0.191,0.986,11.719,0.916,-17.334
-0.009,-0.190,0.994,14.648,-6.165,-24.719
0.043,-0.210,1.004,15.686,-7.996,-27.832
0.068,-0.226,1.010,17.822,-7.690,-29.175
0.098,-0.241,1.023,18.860,-6.409,-27.954
0.112,-0.242,1.024,18.982,-6.348,-26.611
0.146,-0.244,1.034,17.578,-7.629,-25.696
0.155,-0.244,1.036,14.465,-8.240,-20.569
0.157,-0.240,1.034,13.306,-6.836,-18.127
0.162,-0.235,1.033,9.155,-3.906,-14.954
0.156,-0.218,1.009,6.836,-2.991,-12.878
0.148,-0.215,0.994,5.493,-0.977,-11.108
0.144,-0.219,0.990,5.249,-1.221,-11.658
0.142,-0.224,0.993,3.479,-5.981,-11.108
0.135,-0.231,0.995,2.991,-8.118,-10.132
0.120,-0.224,1.002,3.845,-4.700,-6.958
0.110,-0.219,0.999,4.395,-0.549,-4.883
0.099,-0.211,0.992,3.723,4.578,-4.578
0.101,-0.208,0.986,2.380,4.089,-6.104
0.106,-0.205,0.977,0.122,-0.427,-10.498
0.115,-0.198,0.963,0.427,-1.770,-12.085
0.122,-0.202,0.960,2.258,0.854,-11.536
0.144,-0.221,0.958,2.563,2.747,-10.437
0.144,-0.217,0.957,4.578,2.258,-6.775
0.127,-0.201,0.957,6.226,3.784,-5.798
0.152,-0.231,0.967,5.066,6.836,-8.545
0.169,-0.240,0.968,2.136,3.479,-10.315
0.169,-0.232,0.953,-0.427,-3.601,-9.155
0.161,-0.226,0.948,1.343,-1.526,-7.202
0.160,-0.230,0.949,5.493,6.531,-4.517
0.159,-0.227,0.953,6.165,3.113,-3.052
0.135,-0.215,0.960,6.531,1.038,-2.625
0.133,-0.227,0.965,6.958,1.770,-2.441
0.147,-0.252,0.984,5.371,1.038,-1.587
0.139,-0.243,0.985,2.747,-0.610,1.709
0.117,-0.224,0.971,3.601,2.136,2.197
0.117,-0.230,0.971,5.920,7.446,0.732
0.134,-0.242,0.982,5.676,6.409,-0.061
0.137,-0.239,0.981,4.150,3.601,0.427
0.140,-0.239,0.970,3.906,3.845,0.793
0.146,-0.240,0.972,3.113,1.648,0.244
0.143,-0.237,0.977,2.686,-0.366,0.427
0.141,-0.237,0.973,2.991,-0.732,1.160
0.137,-0.246,0.980,4.272,1.343,3.296
0.132,-0.253,0.989,4.211,0.854,3.967
0.130,-0.264,1.005,3.296,-2.441,3.235
0.124,-0.263,1.012,1.160,-3.296,3.174
0.112,-0.259,1.020,0.366,-1.892,3.174
0.114,-0.259,1.018,-1.587,0.977,1.709
0.119,-0.262,1.001,-2.502,0.671,1.038
0.128,-0.261,0.993,-4.211,-1.770,-0.366
0.140,-0.257,0.975,-4.700,-1.831,-0.244
0.142,-0.252,0.964,-3.296,0.977,1.587
0.138,-0.236,0.950,-2.441,2.014,2.563
0.133,-0.231,0.944,-2.014,-0.427,2.930
0.118,-0.232,0.941,-2.014,-3.052,2.502
0.109,-0.234,0.952,-1.038,-6.409,1.404
0.097,-0.235,0.984,-1.221,-6.409,0.916
0.096,-0.238,0.988,-2.502,-4.517,0.488
0.096,-0.236,0.986,-2.441,-3.479,0.671
0.098,-0.234,0.983,-1.404,-1.648,0.671
0.104,-0.232,0.979,-1.221,-1.221,0.549
0.104,-0.230,0.978,-1.343,-1.343,0.916
0.105,-0.224,0.972,-1.160,-0.488,1.221
0.106,-0.223,0.967,-0.305,2.869,1.587
0.113,-0.231,0.962,0.061,3.357,1.160
0.119,-0.233,0.962,-0.549,-0.427,-0.427
0.120,-0.239,0.967,-1.038,-2.686,-1.038
0.119,-0.240,0.971,-0.610,-2.625,-0.793
0.117,-0.237,0.972,-0.183,-0.732,0.122
0.112,-0.227,0.961,-0.122,2.808,2.014
0.110,-0.224,0.956,-0.427,1.709,1.343
0.114,-0.219,0.952,-0.488,-0.671,0.061
0.117,-0.223,0.957,0.488,-3.235,-1.587
0.120,-0.234,0.975,1.282,-2.258,-1.282
0.120,-0.239,0.980,1.526,0.916,0.427
0.110,-0.237,0.977,1.221,1.587,0.854
0.106,-0.236,0.976,0.366,0.793,-0.061
0.120,-0.237,0.978,-0.244,-0.061,-0.671

-0.937,-0.452,1.331,13.367,36.499,61.340
-1.077,-0.458,1.342,2.625,68.481,53.223
-1.284,-0.464,1.327,-12.634,70.190,39.307
-1.339,-0.460,1.293,-57.922,26.794,-14.038
-1.327,-0.419,1.171,-95.032,-31.738,-67.200
-1.198,-0.326,1.031,-104.614,-41.748,-84.900
-1.101,-0.283,0.983,-87.585,-21.790,-114.380
-0.773,-0.317,0.904,-65.674,-0.122,-131.775
-0.247,-0.478,0.852,-37.109,29.236,-169.861
0.043,-0.587,0.827,-20.691,11.536,-195.557
0.592,-0.672,0.812,-9.033,-0.061,-202.148
1.171,-0.631,0.839,8.911,-6.165,-204.956
1.412,-0.655,0.826,27.039,30.762,-187.134
1.817,-0.670,0.779,31.494,47.729,-179.016
1.968,-0.614,0.783,27.222,22.217,-150.208
2.113,-0.507,0.772,23.376,4.639,-130.005
2.197,-0.497,0.771,21.118,9.583,-81.177
2.239,-0.490,0.744,22.095,22.034,-51.575
2.129,-0.443,0.732,23.132,37.476,3.418
1.743,-0.299,0.668,18.677,31.128,26.733
1.539,-0.264,0.642,0.610,-5.188,64.026
1.193,-0.263,0.706,-7.263,-28.381,75.745
1.068,-0.274,0.763,-17.395,-57.983,91.248
0.857,-0.345,0.756,-19.226,-61.584,98.389
0.521,-0.309,0.721,-10.254,-42.847,122.498
0.349,-0.281,0.735,12.451,-6.592,132.385
0.078,-0.234,0.797,22.034,3.845,123.901
-0.026,-0.222,0.827,25.574,1.160,103.577
-0.237,-0.229,0.871,21.362,-10.071,97.656
-0.312,-0.253,0.884,14.954,-32.654,88.196
-0.374,-0.299,0.902,15.686,-36.377,86.426
-0.422,-0.315,0.934,25.940,-29.968,88.196
-0.559,-0.316,1.031,33.142,-23.499,87.097
-0.600,-0.311,1.072,32.654,-13.367,77.698
-0.613,-0.314,1.116,23.743,-13.611,72.021
-0.593,-0.327,1.108,5.981,-18.066,58.044
-0.501,-0.343,1.084,1.038,-18.494,42.664
-0.404,-0.325,1.064,0.977,-16.907,38.086
-0.359,-0.314,1.051,0.854,-13.733,28.076
-0.298,-0.285,1.023,1.160,-14.404,20.996
-0.242,-0.282,1.024,2.808,-20.325,8.911
-0.212,-0.276,1.031,2.747,-20.569,3.723
-0.165,-0.251,1.020,3.174,-15.381,3.052
-0.123,-0.242,0.994,6.409,-5.432,1.038
-0.094,-0.249,0.984,9.705,-7.690,-5.920
0.004,-0.276,0.991,10.925,-12.146,-9.583
0.061,-0.289,1.018,10.803,-17.456,-9.888
0.071,-0.286,1.033,10.376,-7.507,-3.662
0.072,-0.269,1.027,9.033,-0.671,-0.122
0.057,-0.239,1.000,4.822,2.136,3.174
0.056,-0.233,0.995,2.808,-4.822,-0.488
0.072,-0.228,1.012,2.625,-6.592,-2.502
0.081,-0.232,1.018,1.465,-3.906,-1.221
0.078,-0.241,0.997,1.038,-0.977,1.587
0.075,-0.240,0.986,2.502,4.822,5.432
0.075,-0.245,0.980,3.235,7.141,6.165
0.073,-0.243,0.979,3.357,9.216,5.676
0.078,-0.229,0.973,2.563,8.301,4.517
0.081,-0.230,0.972,-0.610,2.686,1.770
0.081,-0.237,0.971,-2.136,0.488,-0.061
0.085,-0.241,0.968,-1.770,2.014,-2.380
0.100,-0.245,0.957,-0.305,4.639,-2.808
0.124,-0.239,0.964,1.038,5.127,-2.075
0.126,-0.234,0.967,-1.526,2.625,-0.549
0.121,-0.242,0.964,-2.808,3.052,-0.305
0.119,-0.254,0.960,-3.418,4.761,-1.038
0.119,-0.250,0.962,-2.380,6.348,-4.578
0.116,-0.226,0.973,-2.319,5.493,-6.042
0.117,-0.230,0.960,-2.747,4.456,-8.057
0.126,-0.229,0.956,-0.732,5.798,-7.812
0.146,-0.222,0.953,0.122,5.310,-5.310
0.138,-0.240,0.957,-0.061,3.967,0.671
0.137,-0.236,0.962,-2.747,2.563,0.671
0.122,-0.229,0.959,-4.761,-0.427,0.854
0.090,-0.217,0.958,-6.042,-3.052,0.916
