aX,aY,aZ,gX,gY,gZ
0.009,-0.000,1.011,-7.690,-3.296,-4.639
-0.004,0.003,1.004,-6.348,-2.686,-4.578
-0.005,0.007,1.001,-7.141,1.099,-5.310
-0.010,0.015,1.002,-7.446,2.869,-5.859
-0.008,0.019,0.997,-5.554,2.075,-5.798

-0.099,0.903,2.421,6.653,-64.331,32.227
-0.145,0.917,2.500,87.769,-36.194,30.945
-0.170,0.927,2.379,134.949,-12.695,29.663
-0.147,0.933,2.241,221.497,20.142,41.199
-0.143,0.826,1.856,262.085,29.114,52.429
-0.156,0.735,1.630,338.928,52.490,66.406
-0.149,0.576,1.181,369.263,69.885,66.101
-0.123,0.556,1.004,397.461,113.159,54.993
-0.070,0.536,0.748,404.297,137.390,46.936
-0.060,0.454,0.605,415.588,160.645,37.231
-0.059,0.341,0.441,435.181,187.805,12.024
-0.051,0.195,0.116,433.044,192.261,-3.174
-0.050,0.163,-0.023,410.339,192.383,-31.006
-0.091,-0.009,-0.193,397.583,188.538,-41.870
-0.129,-0.137,-0.265,374.023,172.852,-61.035
-0.235,-0.358,-0.490,364.258,166.565,-74.707
-0.303,-0.427,-0.643,354.858,149.231,-103.210
-0.497,-0.557,-1.050,353.210,130.676,-109.924
-0.626,-0.667,-1.301,333.618,89.478,-102.112
-0.666,-0.943,-1.837,301.270,69.397,-85.876
-0.607,-1.113,-1.929,174.377,25.085,-29.480
-0.299,-1.155,-1.721,93.384,1.587,3.479
-0.043,-0.993,-1.452,28.076,-27.405,30.457
0.273,-0.802,-0.972,-29.846,-99.365,52.246
0.290,-0.813,-0.798,-41.199,-122.498,50.903
0.270,-0.789,-0.551,-70.740,-104.980,39.978
0.276,-0.745,-0.496,-84.290,-77.759,32.593
0.263,-0.724,-0.490,-96.802,-36.743,14.587
0.098,-0.791,-0.572,-100.403,-25.757,5.066
-0.005,-0.850,-0.629,-117.859,-4.761,-6.714
-0.076,-0.908,-0.690,-133.911,3.601,-5.859
-0.038,-0.897,-0.672,-170.410,-7.141,9.644
0.084,-0.843,-0.546,-185.303,-28.137,21.790
0.135,-0.805,-0.458,-203.857,-80.872,43.640
0.151,-0.715,-0.276,-209.595,-102.722,49.805
0.135,-0.669,-0.196,-222.229,-117.187,49.866
0.158,-0.571,-0.022,-230.591,-113.708,46.265
0.173,-0.525,0.082,-250.061,-110.962,39.856
0.166,-0.482,0.318,-259.216,-109.985,35.339
0.157,-0.444,0.466,-274.902,-99.121,23.010
0.178,-0.300,0.775,-270.203,-93.079,16.357
0.184,-0.258,0.885,-252.136,-93.689,10.315
0.145,-0.252,0.960,-211.548,-112.061,3.052
-0.006,-0.317,1.073,-199.463,-108.032,-0.854
-0.037,-0.306,1.119,-186.279,-59.204,-11.963
0.030,-0.199,1.126,-177.063,-34.973,-16.846
0.072,-0.177,1.129,-158.752,-30.029,-20.874
0.029,-0.216,1.183,-155.457,-44.739,-18.005
-0.037,-0.247,1.205,-146.179,-59.753,-12.085
