aX,aY,aZ,gX,gY,gZ
0.504,1.046,1.208,92.102,8.484,-6.714
0.479,0.966,1.106,115.479,9.033,-23.437
0.408,0.805,0.934,127.625,-1.892,-38.757
0.350,0.691,0.865,144.836,-58.411,-81.299
0.185,0.383,0.741,149.780,-92.041,-99.182
0.097,0.182,0.675,152.161,-121.277,-110.779
-0.030,-0.291,0.540,149.292,-110.352,-102.966
-0.178,-0.718,0.368,128.113,-57.068,-69.702
-0.226,-0.939,0.253,83.923,-2.991,-51.147
-0.205,-1.367,0.063,57.983,6.226,-52.612
-0.154,-1.537,0.011,18.066,-13.794,-71.106
0.105,-1.820,0.061,11.230,-27.954,-88.257
0.302,-1.898,0.193,17.517,-45.593,-111.816
0.689,-1.832,0.565,17.273,-46.631,-107.361
0.797,-1.696,0.694,-18.982,-13.733,-55.176
0.816,-1.491,0.689,-54.810,24.353,-13.245
0.714,-1.453,0.580,-124.573,95.642,76.172
0.397,-1.443,0.335,-144.104,106.323,107.178
0.302,-1.435,0.244,-148.682,75.500,124.023
0.191,-1.430,0.126,-146.484,45.227,118.835
0.160,-1.426,0.137,-132.568,-21.973,111.938
0.077,-1.243,0.296,-122.375,-39.307,115.417
0.012,-1.069,0.394,-112.732,-13.062,130.493
0.002,-0.700,0.558,-111.206,18.005,133.118
0.045,-0.503,0.619,-106.812,63.538,124.084
0.084,-0.176,0.652,-105.225,73.547,115.784
0.096,-0.060,0.646,-102.966,72.815,93.262
0.041,0.224,0.661,-98.816,64.697,80.994
-0.011,0.366,0.674,-85.327,55.481,59.814
0.030,0.542,0.706,-81.665,55.420,48.767
0.108,0.616,0.736,-78.979,41.565,26.489
0.164,0.841,0.817,-77.942,30.212,18.127
0.178,0.932,0.834,-71.411,26.306,-1.099
0.308,1.074,0.853,-60.730,34.241,-11.963
0.367,1.110,0.883,-29.968,53.528,-18.616
0.452,1.094,0.974,-18.188,56.458,-20.325
0.510,1.039,1.001,-1.770,29.968,-41.077
0.673,0.870,1.058,8.789,5.371,-52.063
0.716,0.782,1.117,27.283,-36.987,-49.011
0.639,0.659,1.240,29.541,-45.532,-38.330
0.587,0.615,1.279,21.790,-32.288,-21.057
0.525,0.514,1.266,14.038,-13.733,-16.479
0.577,0.407,1.134,-1.648,21.667,-14.526
0.628,0.349,1.061,-6.470,25.452,-14.282
0.664,0.293,0.997,-6.775,1.831,-11.292
0.671,0.219,0.936,-2.930,-13.733,-9.399
0.642,0.207,0.933,3.296,-26.001,-2.869
0.573,0.186,0.916,3.540,-20.142,1.770
0.549,0.168,0.896,2.197,2.014,11.414
0.519,0.133,0.852,2.014,9.094,14.282
0.507,0.121,0.824,4.028,5.005,11.902
0.504,0.117,0.823,6.348,-2.686,8.179
0.508,0.098,0.844,11.963,-11.841,2.930
0.516,0.087,0.862,12.939,-7.080,5.493
0.514,0.072,0.882,10.315,-3.296,8.728
0.498,0.076,0.882,4.395,1.099,13.123
0.471,0.094,0.878,3.235,0.061,12.512
0.462,0.102,0.881,4.333,-4.822,7.935
0.457,0.106,0.905,5.188,-5.249,5.737
0.472,0.090,0.915,4.028,-2.625,3.662
0.489,0.081,0.917,2.136,-1.526,4.883
0.474,0.094,0.908,-1.160,0.732,6.714
0.474,0.093,0.886,-1.648,1.404,5.859
0.477,0.092,0.883,-1.160,0.061,4.944
0.474,0.105,0.875,-1.099,-0.122,4.211
0.484,0.102,0.869,-1.099,-0.549,3.235
0.474,0.117,0.862,-1.221,-1.038,4.517
0.462,0.130,0.853,-0.610,1.160,5.432
0.458,0.140,0.839,0.854,1.831,4.395
0.452,0.143,0.842,4.028,-1.099,2.197
0.449,0.140,0.849,5.737,-3.174,0.305
0.457,0.129,0.857,10.010,-4.761,-2.075
0.457,0.121,0.887,11.292,-4.211,-1.953
0.466,0.105,0.896,11.292,-3.357,-2.197
0.493,0.084,0.918,10.803,-3.845,-0.977
0.474,0.091,0.920,6.348,-3.296,1.465
0.476,0.085,0.903,4.089,-2.136,0.610
0.474,0.091,0.895,4.272,-1.892,-0.122
0.468,0.095,0.901,4.150,-3.845,-1.221
0.477,0.084,0.899,3.540,-5.127,-2.502
0.479,0.081,0.901,2.869,-5.249,-1.160
0.464,0.089,0.905,1.892,-3.479,0.122
0.458,0.097,0.898,-0.122,-1.587,0.244
0.452,0.109,0.890,0.366,-1.892,-0.244
0.450,0.113,0.895,2.075,-2.197,-1.831
0.459,0.108,0.897,2.319,-2.197,-2.563
0.461,0.110,0.896,2.869,-1.465,-2.625
0.470,0.099,0.898,3.113,-0.977,-2.625
0.472,0.094,0.901,3.479,-0.916,-2.014
