aX,aY,aZ,gX,gY,gZ
1.273,-0.128,1.411,106.018,-26.489,81.116
1.129,-0.229,1.575,87.585,-46.448,117.371
1.005,-0.296,1.653,56.030,-66.284,153.015
0.646,-0.413,1.858,45.410,-67.932,170.593
0.441,-0.461,1.970,28.870,-54.199,193.481
0.067,-0.528,2.120,15.076,-46.692,197.083
-0.104,-0.554,2.132,-31.128,-38.330,193.848
-0.392,-0.594,2.081,-57.495,-34.363,188.660
-0.481,-0.602,2.034,-107.117,-21.545,170.593
-0.573,-0.613,1.873,-131.714,-13.794,157.715
-0.587,-0.604,1.755,-175.903,8.362,133.423
-0.587,-0.577,1.465,-192.200,23.682,122.498
-0.596,-0.556,1.299,-208.618,52.063,95.276
-0.615,-0.481,0.972,-211.182,56.702,79.407
-0.605,-0.434,0.828,-215.515,34.119,45.227
-0.581,-0.341,0.623,-217.590,13.672,27.832
-0.583,-0.282,0.563,-213.013,-19.592,-5.676
-0.549,-0.164,0.492,-205.994,-27.832,-21.606
-0.511,-0.140,0.461,-189.575,-26.550,-50.964
-0.401,-0.124,0.390,-177.612,-17.822,-64.331
-0.340,-0.116,0.354,-142.944,9.338,-82.397
-0.258,-0.085,0.292,-125.488,20.630,-85.937
-0.232,-0.054,0.255,-104.126,22.949,-93.384
-0.146,-0.005,0.179,-101.746,12.878,-99.548
-0.088,0.005,0.143,-101.746,-16.785,-111.023
0.047,0.022,0.095,-96.558,-27.100,-114.563
0.124,0.031,0.094,-74.158,-29.236,-114.868
0.251,0.061,0.109,-61.523,-23.437,-111.816
0.289,0.093,0.113,-36.438,-12.146,-103.455
0.323,0.150,0.122,-26.123,-12.268,-102.295
0.342,0.167,0.131,-11.536,-28.259,-110.168
0.399,0.191,0.178,-5.249,-39.124,-115.234
0.434,0.204,0.211,10.498,-48.157,-120.117
0.514,0.191,0.262,18.738,-42.786,-120.117
0.564,0.180,0.266,29.785,-18.677,-116.211
0.643,0.189,0.235,33.875,-7.141,-113.098
